canonical	gbif_match	gbif_full
Linum strictum var. racemosum	Linum strictum var. racemosum	Linum strictum var. racemosum P.Palau
Linum strictum var. spicatum	Linum strictum var. spicatum	Linum strictum var. spicatum Pers.
Linum sulcatum	Linum sulcatum	Linum sulcatum Riddell
Linum sulcatum var. sulcatum	Linum sulcatum var. sulcatum	Linum sulcatum var. sulcatum
Linum tommasinii	Linum tommasinii	Linum tommasinii Nyman
Linum tommasinii	Linum tommasinii	Linum tommasinii (Rchb.) Nyman
Linum trigynum	Linum trigynum	Linum trigynum L.
Linum trinervium	Linum trinervium	Linum trinervium Freyn
Linum usitatissimum	Linum usitatissimum	Linum usitatissimum L.
Linum usitatissimum subsp. bienne	Linum usitatissimum subsp. bienne	Linum usitatissimum subsp. bienne (Mill.) Stank.
Linum utile	Linum utile	Linum utile Salisb.
Lipocarpha mexicana	Lipocarpha mexicana	Lipocarpha mexicana Liebm.
Lipocarpha squarrosa	Lipocarpha squarrosa	Lipocarpha squarrosa (L.) Goetgh.
Lipochaeta connata	Lipochaeta connata	Lipochaeta connata (Gaudich.) DC.
Lipochaeta connata var. connata	Lipochaeta connata var. connata	Lipochaeta connata var. connata
Lippia affinis	Lippia affinis	Lippia affinis Schauer
Lippia berlandieri	Lippia berlandieri	Lippia berlandieri Torr.
Lippia berlandieri	Lippia berlandieri	Lippia berlandieri Schauer
Lippia candicans	Lippia candicans	Lippia candicans Hayek
Lippia elegans	Lippia elegans	Lippia elegans Cham.
Lippia elegans var. macrophylla	Lippia elegans var. macrophylla	Lippia elegans var. macrophylla Moldenke
Lippia glandulosa	Lippia glandulosa	Lippia glandulosa Schauer
Lippia graveolens	Lippia graveolens	Lippia graveolens Kunth
Lippia mattogrossensis	Lippia mattogrossensis	Lippia mattogrossensis Moldenke
Lippia microphylla	Lippia microphylla	Lippia microphylla Cham.
Lippia nodiflora	Lippia nodiflora	Lippia nodiflora Cham.
Lippia nodiflora	Lippia nodiflora	Lippia nodiflora (L.) Michx.
Lippia nodiflora var. tarraconensis	Lippia nodiflora var. tarraconensis	Lippia nodiflora var. tarraconensis Sennen
Lippia obscura	Lippia obscura	Lippia obscura Briq.
Lippia origanoides	Lippia origanoides	Lippia origanoides Kunth
Lippia palmeri	Lippia palmeri	Lippia palmeri S.Watson
Lippia palmeri var. palmeri	Lippia palmeri var. palmeri	Lippia palmeri var. palmeri
Lippia palmeri var. spicata	Lippia palmeri var. spicata	Lippia palmeri var. spicata Rose
Lippia pendula	Lippia pendula	Lippia pendula Rusby
Lippia polycephala	Lippia polycephala	Lippia polycephala Briq.
Lippia polycephala var. aemilii	Lippia polycephala var. aemilii	Lippia polycephala var. aemilii Briq.
Lippia rigida	Lippia rigida	Lippia rigida Schauer
Lippia rubiginosa	Lippia rubiginosa	Lippia rubiginosa Schauer
Lippia salviifolia	Lippia salviifolia	Lippia salviifolia Cham.
Lippia schomburgkiana	Lippia schomburgkiana	Lippia schomburgkiana Schauer
Lippia sidoides	Lippia sidoides	Lippia sidoides Cham.
Lippia velutina	Lippia velutina	Lippia velutina Schauer
Liquidambar macrophylla	Liquidambar macrophylla	Liquidambar macrophylla Oerst.
Liquidambar styraciflua	Liquidambar styraciflua	Liquidambar styraciflua L.
Liquidambar styraciflua var. mexicana	Liquidambar styraciflua var. mexicana	Liquidambar styraciflua var. mexicana Oerst.
Liquidambar styraciflua var. mexicana	Liquidambar styraciflua var. mexicana	Liquidambar styraciflua var. mexicana Nied., 1891
Liquiritia officinarum	Liquiritia officinarum	Liquiritia officinarum Medik.
Liriodendron chinense	Liriodendron chinense	Liriodendron chinense (Hemsl.) Sarg.
Liriodendron tulipifera	Liriodendron tulipifera	Liriodendron tulipifera L.
Litchi chinensis	Litchi chinensis	Litchi chinensis Sonn.
Litchi chinensis var. euspontanea	Litchi chinensis var. euspontanea	Litchi chinensis var. euspontanea H.H.Hsue
Litchi sinensis	Litchi sinensis	Litchi sinensis (Sonn.) J.F.Gmel.
Litchi sinensis	Litchi sinensis	Litchi sinensis Sonn.
Lithocarpus densiflorus	Lithocarpus densiflorus	Lithocarpus densiflorus (Hook. & Arn.) Rehder
Lithocarpus hui	Lithocarpus hui	Lithocarpus hui A.Camus
Lithocarpus variolosus	Lithocarpus variolosus	Lithocarpus variolosus (Franch.) Chun
Lithospermum arvense	Lithospermum arvense	Lithospermum arvense Thunb.
Lithospermum arvense	Lithospermum arvense	Lithospermum arvense Ledeb.
Lithospermum arvense	Lithospermum arvense	Lithospermum arvense L.
Lithospermum officinale	Lithospermum officinale	Lithospermum officinale L.
Lithraea aroeirinha	Lithraea aroeirinha	Lithraea aroeirinha Marchand ex Warm.
Lithraea gilliesii	Lithraea gilliesii	Lithraea gilliesii Griseb.
Lithraea molleoides	Lithraea molleoides	Lithraea molleoides (Vell.) Engl.
Lithraea molleoides var. lorentziana	Lithraea molleoides var. lorentziana	Lithraea molleoides var. lorentziana Hieron. ex Lillo
Lithraea ternifolia	Lithraea ternifolia	Lithraea ternifolia (Gillies ex Hook.) F.A.Barkley
Litsea dilleniifolia	Litsea dilleniifolia	Litsea dilleniifolia P.Y.Pai & P.H.Huang
Litsea liyuyingii	Litsea liyuyingii	Litsea liyuyingii H.Liou
Litsea liyuyingii	Litsea liyuyingii	Litsea liyuyingii H.Liu
Littorella juncea	Littorella juncea	Littorella juncea Bergius
Littorella lacustris	Littorella lacustris	Littorella lacustris E.H.L.Krause, 1903
Littorella lacustris	Littorella lacustris	Littorella lacustris L.
Littorella uniflora	Littorella uniflora	Littorella uniflora (L.) Asch.
Litwinowia tenuissima	Litwinowia tenuissima	Litwinowia tenuissima (Pall.) Woronow ex Pavlov
Livistona chinensis	Livistona chinensis	Livistona chinensis (Jacq.) R.Br., 1810
Livistona chinensis	Livistona chinensis	Livistona chinensis (Jacq.) R.Br. ex Mart.
Livistona chinensis var. subglobosa	Livistona chinensis var. subglobosa	Livistona chinensis var. subglobosa (Hassk.) Becc.
Livistona japonica	Livistona japonica	Livistona japonica Nakai
Livistona subglobosa	Livistona subglobosa	Livistona subglobosa (Hassk.) Mart.
Lloydia serotina	Lloydia serotina	Lloydia serotina (L.) Rchb.
Lloydia serotina	Lloydia serotina	Lloydia serotina Linnaeus, 1753
Lloydia serotina subsp. flava	Lloydia serotina subsp. flava	Lloydia serotina subsp. flava Calder & Roy L.Taylor
Lloydia serotina var. flava	Lloydia serotina var. flava	Lloydia serotina var. flava (Calder & Roy L.Taylor) B.Boivin
Lloydia serotina var. parva	Lloydia serotina var. parva	Lloydia serotina var. parva (C.Marquand & Airy Shaw) H.Hara
Loasa bergii	Loasa bergii	Loasa bergii Hieron.
Loasa petrophila	Loasa petrophila	Loasa petrophila Urb. & Gilg
Lobelia acutangula	Lobelia acutangula	Lobelia acutangula (C.Presl) A.DC.
Lobelia algoensis	Lobelia algoensis	Lobelia algoensis A.DC.
Lobelia bellidifolia	Lobelia bellidifolia	Lobelia bellidifolia L.f.
Lobelia benguellensis	Lobelia benguellensis	Lobelia benguellensis Hiern
Lobelia bicolor	Lobelia bicolor	Lobelia bicolor Bojer, 1837
Lobelia bicolor	Lobelia bicolor	Lobelia bicolor Sims
Lobelia cardinalis	Lobelia cardinalis	Lobelia cardinalis L.
Lobelia cardinalis subsp. cardinalis	Lobelia cardinalis subsp. cardinalis	Lobelia cardinalis subsp. cardinalis
Lobelia cardinalis subsp. graminea	Lobelia cardinalis subsp. graminea	Lobelia cardinalis subsp. graminea (Lam.) McVaugh
Lobelia cardinalis var. alba	Lobelia cardinalis var. alba	Lobelia cardinalis var. alba J.McNab
Lobelia cardinalis var. candida	Lobelia cardinalis var. candida	Lobelia cardinalis var. candida Alph.Wood
Lobelia cardinalis var. graminea	Lobelia cardinalis var. graminea	Lobelia cardinalis var. graminea (Lam.) McVaugh
Lobelia cardinalis var. hispidula	Lobelia cardinalis var. hispidula	Lobelia cardinalis var. hispidula E.Wimm.
Lobelia cardinalis var. integerrima	Lobelia cardinalis var. integerrima	Lobelia cardinalis var. integerrima Alph.Wood
Lobelia cardinalis var. meridionalis	Lobelia cardinalis var. meridionalis	Lobelia cardinalis var. meridionalis Bowden
Lobelia cardinalis var. multiflora	Lobelia cardinalis var. multiflora	Lobelia cardinalis var. multiflora (Paxton) McVaugh
Lobelia cardinalis var. phyllostachya	Lobelia cardinalis var. phyllostachya	Lobelia cardinalis var. phyllostachya (Engelm.) McVaugh
Lobelia cardinalis var. propinqua	Lobelia cardinalis var. propinqua	Lobelia cardinalis var. propinqua (Paxton) Bowden
Lobelia cardinalis var. pseudosplendens	Lobelia cardinalis var. pseudosplendens	Lobelia cardinalis var. pseudosplendens McVaugh
Lobelia cordigera	Lobelia cordigera	Lobelia cordigera Cav.
Lobelia cordigera var. fatalis	Lobelia cordigera var. fatalis	Lobelia cordigera var. fatalis E.Wimm.
Lobelia dortmanna	Lobelia dortmanna	Lobelia dortmanna L.
Lobelia erinus	Lobelia erinus	Lobelia erinus L.
Lobelia erinus var. grandiflora	Lobelia erinus var. grandiflora	Lobelia erinus var. grandiflora Paxton
Lobelia filiformis var. filiformis	Lobelia filiformis var. filiformis	Lobelia filiformis var. filiformis
Lobelia filiformis var. natalensis	Lobelia filiformis var. natalensis	Lobelia filiformis var. natalensis (A.DC.) E.Wimm.
Lobelia fulgens	Lobelia fulgens	Lobelia fulgens Humb. & Bonpl. ex Willd.
Lobelia graminea	Lobelia graminea	Lobelia graminea Lam.
Lobelia graminea var. intermedia	Lobelia graminea var. intermedia	Lobelia graminea var. intermedia E.Wimm.
Lobelia ignea	Lobelia ignea	Lobelia ignea Paxton
Lobelia longifolia	Lobelia longifolia	Lobelia longifolia (C.Presl) A.DC.
Lobelia mucronata	Lobelia mucronata	Lobelia mucronata Cav.
Lobelia mucronata	Lobelia mucronata	Lobelia mucronata Engelm.
Lobelia nuda	Lobelia nuda	Lobelia nuda Hemsl.
Lobelia nummularia	Lobelia nummularia	Lobelia nummularia Lam.
Lobelia phyllostachya	Lobelia phyllostachya	Lobelia phyllostachya Engelm.
Lobelia ramosa	Lobelia ramosa	Lobelia ramosa Benth.
Lobelia rosulata	Lobelia rosulata	Lobelia rosulata S.Moore
Lobelia senegalensis	Lobelia senegalensis	Lobelia senegalensis A.DC.
Lobelia splendens	Lobelia splendens	Lobelia splendens Humb. & Bonpl. ex Willd.
Lobelia texensis	Lobelia texensis	Lobelia texensis Raf.
Lobelia yuccoides	Lobelia yuccoides	Lobelia yuccoides Hillebr.
Lobivia silvestrii	Lobivia silvestrii	Lobivia silvestrii (Speg.) G.D.Rowley
Lobularia maritima	Lobularia maritima	Lobularia maritima (L.) Desv.
Lobularia maritima subsp. maritima	Lobularia maritima subsp. maritima	Lobularia maritima subsp. maritima
Lobularia strigulosa	Lobularia strigulosa	Lobularia strigulosa Willk.
Lochnera rosea	Lochnera rosea	Lochnera rosea (L.) Rchb. ex Endl.
Lochnera rosea	Lochnera rosea	Lochnera rosea (L.) Rchb. ex Spach
Lochnera rosea	Lochnera rosea	Lochnera rosea (L.) Rchb. ex K.Schum.
Lochnera rosea	Lochnera rosea	Lochnera rosea (L.) Rchb.
Logfia arvensis	Logfia arvensis	Logfia arvensis (L.) Holub
Lolium ambiguum	Lolium ambiguum	Lolium ambiguum Desp.
Lolium annuum	Lolium annuum	Lolium annuum Gilib., 1792
Lolium aristatum	Lolium aristatum	Lolium aristatum (Willd.) Lag.
Lolium arvense	Lolium arvense	Lolium arvense With.
Lolium berteronianum	Lolium berteronianum	Lolium berteronianum Steud.
Lolium compositum	Lolium compositum	Lolium compositum Thuill.
Lolium cristatum	Lolium cristatum	Lolium cristatum Pers., 1805
Lolium cristatum	Lolium cristatum	Lolium cristatum Pers. ex B.D.Jacks.
Lolium elongatum	Lolium elongatum	Lolium ×elongatum (Ehrh.) Banfi, Galasso, Foggi, Kopecký & Ardenghi
Lolium gaudinii	Lolium gaudinii	Lolium gaudinii Parl.
Lolium giganteum	Lolium giganteum	Lolium giganteum (L.) Darbysh.
Lolium glumosum	Lolium glumosum	Lolium glumosum Planellas
Lolium italicum	Lolium italicum	Lolium italicum A.Braun
Lolium loliaceum	Lolium loliaceum	Lolium loliaceum (Bory & Chaub.) Hand.-Mazz.
Lolium lowei	Lolium lowei	Lolium lowei Menezes
Lolium multiflorum	Lolium multiflorum	Lolium multiflorum Lam.
Lolium multiflorum	Lolium multiflorum	Lolium multiflorum Clairv., 1811
Lolium multiflorum subsp. italicum	Lolium multiflorum subsp. italicum	Lolium multiflorum subsp. italicum (Husn.) Schinz & R.Keller
Lolium multiflorum var. gaudinii	Lolium multiflorum var. gaudinii	Lolium multiflorum var. gaudinii Asch. & Graebn.
Lolium multiflorum var. multiflorum	Lolium multiflorum var. multiflorum	Lolium multiflorum var. multiflorum
Lolium multiflorum var. muticum	Lolium multiflorum var. muticum	Lolium multiflorum var. muticum DC.
Lolium multiflorum var. ramosum	Lolium multiflorum var. ramosum	Lolium multiflorum var. ramosum Guss.
Lolium multiflorum var. ramosum	Lolium multiflorum var. ramosum	Lolium multiflorum var. ramosum (Guss.) Arcang.
Lolium multiflorum var. submuticum	Lolium multiflorum var. submuticum	Lolium multiflorum var. submuticum Mutel
Lolium parabolicae	Lolium parabolicae	Lolium parabolicae Sennen ex Samp.
Lolium perenne	Lolium perenne	Lolium perenne L.
Lolium perenne	Lolium perenne	Lolium perenne Aitch., 1882
Lolium perenne subsp. boucheanum	Lolium perenne subsp. boucheanum	Lolium perenne subsp. boucheanum (Kunth) Rouy
Lolium perenne subsp. italicum	Lolium perenne subsp. italicum	Lolium perenne subsp. italicum Husn.
Lolium perenne subsp. multiflorum	Lolium perenne subsp. multiflorum	Lolium perenne subsp. multiflorum (Lam.) Husn.
Lolium perenne subsp. perenne	Lolium perenne subsp. perenne	Lolium perenne subsp. perenne
Lolium perenne var. cristatum	Lolium perenne var. cristatum	Lolium perenne var. cristatum Pers.
Lolium perenne var. italicum	Lolium perenne var. italicum	Lolium perenne var. italicum Scribn.
Lolium perenne var. multiflorum	Lolium perenne var. multiflorum	Lolium perenne var. multiflorum (Lam.) Parn.
Lolium perenne var. perenne	Lolium perenne var. perenne	Lolium perenne var. perenne
Lolium perenne var. ramosum	Lolium perenne var. ramosum	Lolium perenne var. ramosum Sm., 1800
Lolium perenne var. ramosum	Lolium perenne var. ramosum	Lolium perenne var. ramosum Schumach.
Lolium perenne var. rigidum	Lolium perenne var. rigidum	Lolium perenne var. rigidum (Gaudin) Coss. & Durieu
Lolium perenne var. tenue	Lolium perenne var. tenue	Lolium perenne var. tenue G.Sinclair, 1825
Lolium perenne var. tenue	Lolium perenne var. tenue	Lolium perenne var. tenue (L.) Huds.
Lolium rigidum	Lolium rigidum	Lolium rigidum Gaudin
Lolium rigidum	Lolium rigidum	Lolium rigidum Weiss ex Nyman
Lolium rigidum subsp. rigidum	Lolium rigidum subsp. rigidum	Lolium rigidum subsp. rigidum
Lolium rigidum var. aristatum	Lolium rigidum var. aristatum	Lolium rigidum var. aristatum Hack.
Lolium rigidum var. maritimum	Lolium rigidum var. maritimum	Lolium rigidum var. maritimum (Godr.) Hack., 1910
Lolium rigidum var. maritimum	Lolium rigidum var. maritimum	Lolium rigidum var. maritimum (Godr.) Briq.
Lolium rigidum var. rigidum	Lolium rigidum var. rigidum	Lolium rigidum var. rigidum
Lolium siculum	Lolium siculum	Lolium siculum Parl.
Lolium strictum	Lolium strictum	Lolium strictum C.Presl
Lolium subulatum	Lolium subulatum	Lolium subulatum Vis.
Lolium temulentum	Lolium temulentum	Lolium temulentum L.
Lolium temulentum subsp. arvense	Lolium temulentum subsp. arvense	Lolium temulentum subsp. arvense (With.) Tzvelev
Lolium temulentum var. arvense	Lolium temulentum var. arvense	Lolium temulentum var. arvense (With.) Bab.
Lolium temulentum var. arvense	Lolium temulentum var. arvense	Lolium temulentum var. arvense (With.) Lilj.
Lolium temulentum var. leptochaeton	Lolium temulentum var. leptochaeton	Lolium temulentum var. leptochaeton A.Braun
Lolium temulentum var. macrochaeton	Lolium temulentum var. macrochaeton	Lolium temulentum var. macrochaeton A.Braun
Lolium temulentum var. muticum	Lolium temulentum var. muticum	Lolium temulentum var. muticum Noulet
Lolium temulentum var. oliganthum	Lolium temulentum var. oliganthum	Lolium temulentum var. oliganthum Godr.
Lolium temulentum var. semiglabrum	Lolium temulentum var. semiglabrum	Lolium temulentum var. semiglabrum Litv.
Lolium temulentum var. speciosum	Lolium temulentum var. speciosum	Lolium temulentum var. speciosum (Steven ex M.Bieb.) Koch
Lolium temulentum var. temulentum	Lolium temulentum var. temulentum	Lolium temulentum var. temulentum
Lolium tenue	Lolium tenue	Lolium tenue L.
Lolium tenue	Lolium tenue	Lolium tenue M.Bieb., 1808
Lomatia hirsuta	Lomatia hirsuta	Lomatia hirsuta (Lam.) Diels ex J.F.Macbr., 1937
Lomatia hirsuta	Lomatia hirsuta	Lomatia hirsuta (Lam.) Diels
Lomatia obliqua var. alnifolia	Lomatia obliqua var. alnifolia	Lomatia obliqua var. alnifolia Meisn.
Lomelosia caucasica	Lomelosia caucasica	Lomelosia caucasica (M.Bieb.) Greuter & Burdet
Lomelosia rutifolia	Lomelosia rutifolia	Lomelosia rutifolia (Vahl) Avino & P.Caputo
Lonchocarpus albiflorus	Lonchocarpus albiflorus	Lonchocarpus albiflorus Hassl.
Lonchocarpus albiflorus	Lonchocarpus albiflorus	Lonchocarpus albiflorus G.Don
Lonchocarpus campestris	Lonchocarpus campestris	Lonchocarpus campestris Mart.
Lonchocarpus campestris	Lonchocarpus campestris	Lonchocarpus campestris Mart. ex Benth.
Lonchocarpus leucanthus	Lonchocarpus leucanthus	Lonchocarpus leucanthus Burkart
Lonchocarpus mollis	Lonchocarpus mollis	Lonchocarpus mollis Benth.
Lonchocarpus muehlbergianus	Lonchocarpus muehlbergianus	Lonchocarpus muehlbergianus Hassl.
Lonchocarpus nitidus	Lonchocarpus nitidus	Lonchocarpus nitidus (Vogel) Benth.
Lonchocarpus roseus	Lonchocarpus roseus	Lonchocarpus roseus (Mill.) DC.
Lonchocarpus sepium	Lonchocarpus sepium	Lonchocarpus sepium (Jacq.) DC.
Loncomelos pyrenaicum	Loncomelos pyrenaicum	Loncomelos pyrenaicum (L.) Holub
Loncomelos pyrenaicum	Loncomelos pyrenaicum	Loncomelos pyrenaicum (L.) L.D.Hrouda
Lonicera adenophora	Lonicera adenophora	Lonicera adenophora Franch.
Lonicera alba	Lonicera alba	Lonicera alba (L.) Druce
Lonicera altaica subsp. subarctica	Lonicera altaica subsp. subarctica	Lonicera altaica subsp. subarctica (Pojark.) Vorosch.
Lonicera baltica	Lonicera baltica	Lonicera baltica Pojark.
Lonicera bracteata	Lonicera bracteata	Lonicera bracteata Royle
Lonicera caerulea	Lonicera caerulea	Lonicera caerulea L.
Lonicera caerulea subsp. baltica	Lonicera caerulea subsp. baltica	Lonicera caerulea subsp. baltica (Pojark.) Tzvelev
Lonicera caerulea subsp. kamtschatica	Lonicera caerulea subsp. kamtschatica	Lonicera caerulea subsp. kamtschatica (Sevast.) Gladkova
Lonicera caerulea subsp. pallasii	Lonicera caerulea subsp. pallasii	Lonicera caerulea subsp. pallasii (Ledeb.) Browicz
Lonicera caerulea subsp. subarctica	Lonicera caerulea subsp. subarctica	Lonicera caerulea subsp. subarctica (Pojark.) Sennikov
Lonicera caerulea var. altaica	Lonicera caerulea var. altaica	Lonicera caerulea var. altaica Pall.
Lonicera caerulea var. edulis	Lonicera caerulea var. edulis	Lonicera caerulea var. edulis Turcz. ex Herder
Lonicera caerulea var. pallasii	Lonicera caerulea var. pallasii	Lonicera caerulea var. pallasii (Ledeb.) Cinovskis
Lonicera caprifolium	Lonicera caprifolium	Lonicera caprifolium L.
Lonicera edulis	Lonicera edulis	Lonicera edulis (Turcz. ex Herder) Turcz. ex Freyn
Lonicera edulis	Lonicera edulis	Lonicera edulis Turcz.
Lonicera heteroloba	Lonicera heteroloba	Lonicera heteroloba Batalin
Lonicera hispida	Lonicera hispida	Lonicera hispida Pall. ex Roem. & Schult.
Lonicera hispida	Lonicera hispida	Lonicera hispida Pall.
Lonicera hispida var. chaetocarpa	Lonicera hispida var. chaetocarpa	Lonicera hispida var. chaetocarpa Batalin ex Rehder
Lonicera hispida var. hirsutior	Lonicera hispida var. hirsutior	Lonicera hispida var. hirsutior Regel
Lonicera implexa	Lonicera implexa	Lonicera implexa Sol.
